topic,year,pubs,cites
Generative Adversarial Networks and Image Synthesis,2023,1,14
Generative Adversarial Networks and Image Synthesis,2024,1,2
Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities,1999,2,26
Genetic and phenotypic traits in livestock,1996,1,22
Genetic and phenotypic traits in livestock,1997,1,14
Genetic diversity and population structure,2024,1,4
Genetic diversity and population structure,2025,1,0
Genomics and Phylogenetic Studies,2021,1,4
Genomics and Phylogenetic Studies,2022,1,18
Genomics and Phylogenetic Studies,2026,1,0
Geochemistry and Elemental Analysis,1989,1,14
Geochemistry and Elemental Analysis,1994,1,1
Geochemistry and Elemental Analysis,1996,2,70
Geochemistry and Elemental Analysis,1998,2,63
Geochemistry and Elemental Analysis,1999,1,13
Geochemistry and Elemental Analysis,2000,1,19
Geochemistry and Elemental Analysis,2001,1,8
Geochemistry and Elemental Analysis,2003,1,107
Geochemistry and Elemental Analysis,2004,4,220
Geochemistry and Elemental Analysis,2005,2,126
Geochemistry and Elemental Analysis,2007,2,60
Geochemistry and Elemental Analysis,2008,2,258
Geochemistry and Elemental Analysis,2009,6,402
Geochemistry and Elemental Analysis,2010,4,81
Geochemistry and Elemental Analysis,2012,2,41
Geochemistry and Elemental Analysis,2013,5,295
Geochemistry and Elemental Analysis,2014,3,150
Geochemistry and Elemental Analysis,2015,5,201
Geochemistry and Elemental Analysis,2016,8,316
Geochemistry and Elemental Analysis,2017,5,44
Geochemistry and Elemental Analysis,2018,9,159
Geochemistry and Elemental Analysis,2019,5,104
Geochemistry and Elemental Analysis,2020,10,284
Geochemistry and Elemental Analysis,2021,16,152
Geochemistry and Elemental Analysis,2022,6,231
Geochemistry and Elemental Analysis,2023,6,63
Geochemistry and Elemental Analysis,2024,14,82
Geochemistry and Elemental Analysis,2025,12,37
Geochemistry and Elemental Analysis,2026,10,5
Geochemistry and Geochronology of Asian Mineral Deposits,2023,1,4
Geochemistry and Geochronology of Asian Mineral Deposits,2024,1,10
Geochemistry and Geologic Mapping,1962,1,14
Geochemistry and Geologic Mapping,1966,1,57
Geochemistry and Geologic Mapping,1977,2,63
Geochemistry and Geologic Mapping,1981,1,36
Geochemistry and Geologic Mapping,1982,1,0
Geochemistry and Geologic Mapping,1983,2,64
Geochemistry and Geologic Mapping,1984,2,24
Geochemistry and Geologic Mapping,1985,3,9
Geochemistry and Geologic Mapping,1986,1,38
Geochemistry and Geologic Mapping,1987,2,1
Geochemistry and Geologic Mapping,1988,1,153
Geochemistry and Geologic Mapping,1989,4,412
Geochemistry and Geologic Mapping,1990,6,41
Geochemistry and Geologic Mapping,1991,3,3
Geochemistry and Geologic Mapping,1992,2,8
Geochemistry and Geologic Mapping,1993,1,33
Geochemistry and Geologic Mapping,1994,2,52
Geochemistry and Geologic Mapping,1995,3,45
Geochemistry and Geologic Mapping,1996,3,60
Geochemistry and Geologic Mapping,1997,2,64
Geochemistry and Geologic Mapping,1998,5,251
Geochemistry and Geologic Mapping,1999,2,70
Geochemistry and Geologic Mapping,2000,7,139
Geochemistry and Geologic Mapping,2001,4,126
Geochemistry and Geologic Mapping,2002,3,6
Geochemistry and Geologic Mapping,2003,15,866
Geochemistry and Geologic Mapping,2004,7,560
Geochemistry and Geologic Mapping,2005,6,331
Geochemistry and Geologic Mapping,2006,6,39
Geochemistry and Geologic Mapping,2007,1,24
Geochemistry and Geologic Mapping,2008,3,1
Geochemistry and Geologic Mapping,2009,6,250
Geochemistry and Geologic Mapping,2010,17,109
Geochemistry and Geologic Mapping,2011,8,1076
Geochemistry and Geologic Mapping,2012,11,236
Geochemistry and Geologic Mapping,2013,12,332
Geochemistry and Geologic Mapping,2014,23,1067
Geochemistry and Geologic Mapping,2015,17,710
Geochemistry and Geologic Mapping,2016,22,613
Geochemistry and Geologic Mapping,2017,33,1410
Geochemistry and Geologic Mapping,2018,33,682
Geochemistry and Geologic Mapping,2019,40,610
Geochemistry and Geologic Mapping,2020,47,489
Geochemistry and Geologic Mapping,2021,35,434
Geochemistry and Geologic Mapping,2022,54,532
Geochemistry and Geologic Mapping,2023,27,233
Geochemistry and Geologic Mapping,2024,44,236
Geochemistry and Geologic Mapping,2025,40,106
Geochemistry and Geologic Mapping,2026,7,0
Geodetic Measurements and Engineering Structures,1995,1,0
Geographic Information Systems Studies,2015,2,0
Geography and Environmental Studies,2023,1,0
Geography Education and Pedagogy,1999,1,0
Geography Education and Pedagogy,2023,1,17
Geography Education and Pedagogy,2026,1,2
Geological and Geochemical Analysis,1980,1,19
Geological and Geochemical Analysis,1981,1,0
Geological and Geochemical Analysis,1984,1,15
Geological and Geochemical Analysis,1985,2,3
Geological and Geochemical Analysis,1986,1,23
Geological and Geochemical Analysis,1987,1,41
Geological and Geochemical Analysis,1988,1,153
Geological and Geochemical Analysis,1989,3,249
Geological and Geochemical Analysis,1990,3,117
Geological and Geochemical Analysis,1991,5,454
Geological and Geochemical Analysis,1994,2,186
Geological and Geochemical Analysis,1995,3,89
Geological and Geochemical Analysis,1996,3,318
Geological and Geochemical Analysis,1997,4,499
Geological and Geochemical Analysis,1998,3,267
Geological and Geochemical Analysis,1999,4,148
Geological and Geochemical Analysis,2000,7,583
Geological and Geochemical Analysis,2001,6,234
Geological and Geochemical Analysis,2002,5,465
Geological and Geochemical Analysis,2003,23,1637
Geological and Geochemical Analysis,2004,14,1119
Geological and Geochemical Analysis,2005,11,1536
Geological and Geochemical Analysis,2006,13,892
Geological and Geochemical Analysis,2007,12,4433
Geological and Geochemical Analysis,2008,11,829
Geological and Geochemical Analysis,2009,13,677
Geological and Geochemical Analysis,2010,12,1206
Geological and Geochemical Analysis,2011,17,2346
Geological and Geochemical Analysis,2012,12,1085
Geological and Geochemical Analysis,2013,18,1910
Geological and Geochemical Analysis,2014,29,1499
Geological and Geochemical Analysis,2015,27,1540
Geological and Geochemical Analysis,2016,22,660
Geological and Geochemical Analysis,2017,35,1913
Geological and Geochemical Analysis,2018,46,1456
Geological and Geochemical Analysis,2019,33,892
Geological and Geochemical Analysis,2020,39,1434
Geological and Geochemical Analysis,2021,40,733
Geological and Geochemical Analysis,2022,38,478
Geological and Geochemical Analysis,2023,39,274
Geological and Geochemical Analysis,2024,41,318
Geological and Geochemical Analysis,2025,39,102
Geological and Geochemical Analysis,2026,11,3
Geological and Geophysical Studies,1984,1,0
Geological and Geophysical Studies,1985,2,83
Geological and Geophysical Studies,1986,4,215
Geological and Geophysical Studies,1987,4,110
Geological and Geophysical Studies,1988,4,269
Geological and Geophysical Studies,1989,2,146
Geological and Geophysical Studies,1990,3,251
Geological and Geophysical Studies,1991,17,562
Geological and Geophysical Studies,1992,2,61
Geological and Geophysical Studies,1993,6,409
Geological and Geophysical Studies,1994,3,124
Geological and Geophysical Studies,1995,12,398
Geological and Geophysical Studies,1996,2,32
Geological and Geophysical Studies,1997,4,345
Geological and Geophysical Studies,1998,6,81
Geological and Geophysical Studies,1999,1,46
Geological and Geophysical Studies,2000,10,212
Geological and Geophysical Studies,2001,3,575
Geological and Geophysical Studies,2002,9,130
Geological and Geophysical Studies,2003,13,1020
Geological and Geophysical Studies,2004,6,245
Geological and Geophysical Studies,2005,6,1224
Geological and Geophysical Studies,2006,12,445
Geological and Geophysical Studies,2007,8,141
Geological and Geophysical Studies,2008,13,267
Geological and Geophysical Studies,2009,9,160
Geological and Geophysical Studies,2010,25,541
Geological and Geophysical Studies,2011,11,142
Geological and Geophysical Studies,2012,16,336
Geological and Geophysical Studies,2013,16,110
Geological and Geophysical Studies,2014,22,386
Geological and Geophysical Studies,2015,25,261
Geological and Geophysical Studies,2016,18,285
Geological and Geophysical Studies,2017,28,300
Geological and Geophysical Studies,2018,23,141
Geological and Geophysical Studies,2019,28,267
Geological and Geophysical Studies,2020,39,355
Geological and Geophysical Studies,2021,18,151
Geological and Geophysical Studies,2022,39,387
Geological and Geophysical Studies,2023,21,88
Geological and Geophysical Studies,2024,43,160
Geological and Geophysical Studies,2025,41,75
Geological and Geophysical Studies,2026,3,0
Geological and Geophysical Studies Worldwide,1962,1,0
Geological and Geophysical Studies Worldwide,1966,2,6
Geological and Geophysical Studies Worldwide,1978,1,0
Geological and Geophysical Studies Worldwide,1979,1,0
Geological and Geophysical Studies Worldwide,1980,2,25
Geological and Geophysical Studies Worldwide,1981,1,4
Geological and Geophysical Studies Worldwide,1987,2,52
Geological and Geophysical Studies Worldwide,1989,1,20
Geological and Geophysical Studies Worldwide,1990,2,140
Geological and Geophysical Studies Worldwide,1991,1,47
Geological and Geophysical Studies Worldwide,1996,5,295
Geological and Geophysical Studies Worldwide,1997,1,11
Geological and Geophysical Studies Worldwide,1998,2,24
Geological and Geophysical Studies Worldwide,1999,5,99
Geological and Geophysical Studies Worldwide,2000,6,274
Geological and Geophysical Studies Worldwide,2001,3,106
Geological and Geophysical Studies Worldwide,2002,3,42
Geological and Geophysical Studies Worldwide,2003,4,87
Geological and Geophysical Studies Worldwide,2004,2,85
Geological and Geophysical Studies Worldwide,2005,7,89
Geological and Geophysical Studies Worldwide,2006,1,30
Geological and Geophysical Studies Worldwide,2007,4,105
Geological and Geophysical Studies Worldwide,2008,5,148
Geological and Geophysical Studies Worldwide,2010,5,56
Geological and Geophysical Studies Worldwide,2011,4,22
Geological and Geophysical Studies Worldwide,2012,1,23
Geological and Geophysical Studies Worldwide,2013,1,0
Geological and Geophysical Studies Worldwide,2015,3,151
Geological and Geophysical Studies Worldwide,2016,4,28
Geological and Geophysical Studies Worldwide,2017,3,13
Geological and Geophysical Studies Worldwide,2018,2,7
Geological and Geophysical Studies Worldwide,2019,3,2
Geological and Geophysical Studies Worldwide,2020,4,15
Geological and Geophysical Studies Worldwide,2021,5,56
Geological and Geophysical Studies Worldwide,2022,2,12
Geological and Geophysical Studies Worldwide,2023,3,7
Geological and Geophysical Studies Worldwide,2024,4,5
Geological and Geophysical Studies Worldwide,2025,7,16
Geological and Tectonic Studies in Latin America,1992,1,205
Geological and Tectonic Studies in Latin America,1993,1,0
Geological and Tectonic Studies in Latin America,2001,1,0
Geological and Tectonic Studies in Latin America,2004,1,75
Geological and Tectonic Studies in Latin America,2011,1,0
Geological and Tectonic Studies in Latin America,2013,1,0
Geological and Tectonic Studies in Latin America,2014,1,180
Geological and Tectonic Studies in Latin America,2016,1,0
Geological and Tectonic Studies in Latin America,2018,1,0
Geological and Tectonic Studies in Latin America,2019,2,34
Geological and Tectonic Studies in Latin America,2020,1,0
Geological and Tectonic Studies in Latin America,2021,2,26
Geological formations and processes,1965,1,13
Geological formations and processes,1966,1,4
Geological formations and processes,1972,1,15
Geological formations and processes,1976,1,19
Geological formations and processes,1977,1,4
Geological formations and processes,1980,1,21
Geological formations and processes,1981,1,26
Geological formations and processes,1982,2,50
Geological formations and processes,1983,1,0
Geological formations and processes,1984,3,12
Geological formations and processes,1985,4,39
Geological formations and processes,1986,3,44
Geological formations and processes,1987,6,162
Geological formations and processes,1988,2,55
Geological formations and processes,1989,6,311
Geological formations and processes,1990,3,153
Geological formations and processes,1991,12,307
Geological formations and processes,1992,4,314
Geological formations and processes,1993,6,224
Geological formations and processes,1994,4,602
Geological formations and processes,1995,13,415
Geological formations and processes,1996,6,144
Geological formations and processes,1997,3,206
Geological formations and processes,1998,11,295
Geological formations and processes,1999,6,571
Geological formations and processes,2000,5,166
Geological formations and processes,2001,7,825
Geological formations and processes,2002,8,470
Geological formations and processes,2003,2,163
Geological formations and processes,2004,16,660
Geological formations and processes,2005,12,257
Geological formations and processes,2006,16,491
Geological formations and processes,2007,10,4235
Geological formations and processes,2008,19,496
Geological formations and processes,2009,14,297
Geological formations and processes,2010,22,1242
Geological formations and processes,2011,17,371
Geological formations and processes,2012,23,986
Geological formations and processes,2013,23,624
Geological formations and processes,2014,13,281
Geological formations and processes,2015,21,661
Geological formations and processes,2016,21,273
Geological formations and processes,2017,34,496
Geological formations and processes,2018,28,396
Geological formations and processes,2019,30,320
Geological formations and processes,2020,31,357
Geological formations and processes,2021,32,441
Geological formations and processes,2022,46,390
Geological formations and processes,2023,36,444
Geological formations and processes,2024,44,261
Geological formations and processes,2025,21,20
Geological formations and processes,2026,15,2
Geological Formations and Processes Exploration,1966,2,4
Geological Formations and Processes Exploration,1972,1,15
Geological Formations and Processes Exploration,1979,1,3
Geological Formations and Processes Exploration,1987,1,6
Geological Formations and Processes Exploration,1989,2,78
Geological Formations and Processes Exploration,1991,1,3
Geological Formations and Processes Exploration,1992,3,25
Geological Formations and Processes Exploration,1995,1,7
Geological Formations and Processes Exploration,1996,1,61
Geological Formations and Processes Exploration,1997,3,12
Geological Formations and Processes Exploration,1998,3,24
Geological Formations and Processes Exploration,2000,1,40
Geological Formations and Processes Exploration,2001,2,0
Geological Formations and Processes Exploration,2002,2,29
Geological Formations and Processes Exploration,2003,3,146
Geological Formations and Processes Exploration,2004,2,20
Geological Formations and Processes Exploration,2005,14,45
Geological Formations and Processes Exploration,2006,2,3
Geological Formations and Processes Exploration,2007,4,72
Geological Formations and Processes Exploration,2008,3,22
Geological Formations and Processes Exploration,2010,3,140
Geological Formations and Processes Exploration,2011,2,0
Geological Formations and Processes Exploration,2014,1,6
Geological Formations and Processes Exploration,2015,1,0
Geological Formations and Processes Exploration,2016,2,0
Geological Formations and Processes Exploration,2017,1,0
Geological Formations and Processes Exploration,2018,5,147
Geological Formations and Processes Exploration,2019,1,0
Geological Formations and Processes Exploration,2022,4,2
Geological Formations and Processes Exploration,2024,1,4
Geological Formations and Processes Exploration,2025,2,2
Geological Modeling and Analysis,1992,1,1
Geological Modeling and Analysis,1994,1,430
Geological Modeling and Analysis,2001,1,0
Geological Modeling and Analysis,2002,1,0
Geological Modeling and Analysis,2008,3,6
Geological Modeling and Analysis,2009,1,170
Geological Modeling and Analysis,2010,2,1
Geological Modeling and Analysis,2011,4,2
Geological Modeling and Analysis,2012,3,73
Geological Modeling and Analysis,2013,1,0
Geological Modeling and Analysis,2014,1,2
Geological Modeling and Analysis,2015,9,0
Geological Modeling and Analysis,2017,3,5
Geological Modeling and Analysis,2018,4,11
Geological Modeling and Analysis,2019,4,4
Geological Modeling and Analysis,2020,3,2
Geological Modeling and Analysis,2021,3,130
Geological Modeling and Analysis,2022,6,7
Geological Modeling and Analysis,2023,4,25
Geological Modeling and Analysis,2024,4,21
Geological Modeling and Analysis,2025,5,4
Geological Modeling and Analysis,2026,1,0
Geological Studies and Exploration,1976,1,20
Geological Studies and Exploration,1983,1,0
Geological Studies and Exploration,1984,2,25
Geological Studies and Exploration,1985,1,4
Geological Studies and Exploration,1986,4,120
Geological Studies and Exploration,1987,3,10
Geological Studies and Exploration,1988,3,215
Geological Studies and Exploration,1989,7,134
Geological Studies and Exploration,1990,2,3
Geological Studies and Exploration,1991,8,14
Geological Studies and Exploration,1993,2,56
Geological Studies and Exploration,1994,4,208
Geological Studies and Exploration,1995,4,165
Geological Studies and Exploration,1996,3,178
Geological Studies and Exploration,1997,3,156
Geological Studies and Exploration,1998,2,40
Geological Studies and Exploration,1999,3,105
Geological Studies and Exploration,2000,8,175
Geological Studies and Exploration,2001,5,44
Geological Studies and Exploration,2002,3,149
Geological Studies and Exploration,2003,9,47
Geological Studies and Exploration,2004,3,65
Geological Studies and Exploration,2005,6,53
Geological Studies and Exploration,2006,4,558
Geological Studies and Exploration,2008,2,79
Geological Studies and Exploration,2009,3,20
Geological Studies and Exploration,2010,11,239
Geological Studies and Exploration,2011,9,290
Geological Studies and Exploration,2012,9,167
Geological Studies and Exploration,2013,8,97
Geological Studies and Exploration,2014,18,336
Geological Studies and Exploration,2015,10,142
Geological Studies and Exploration,2016,10,360
Geological Studies and Exploration,2017,14,347
Geological Studies and Exploration,2018,13,175
Geological Studies and Exploration,2019,12,135
Geological Studies and Exploration,2020,13,86
Geological Studies and Exploration,2021,10,21
Geological Studies and Exploration,2022,16,113
Geological Studies and Exploration,2023,11,46
Geological Studies and Exploration,2024,7,27
Geological Studies and Exploration,2025,12,14
Geological Studies and Exploration,2026,1,0
Geology and Environmental Impact Studies,1998,1,0
Geology and Environmental Impact Studies,2005,1,3
Geology and Environmental Impact Studies,2016,1,0
Geology and Paleoclimatology Research,1962,1,14
Geology and Paleoclimatology Research,1966,3,65
Geology and Paleoclimatology Research,1969,1,94
Geology and Paleoclimatology Research,1970,1,0
Geology and Paleoclimatology Research,1980,2,40
Geology and Paleoclimatology Research,1981,2,30
Geology and Paleoclimatology Research,1982,2,44
Geology and Paleoclimatology Research,1983,2,3
Geology and Paleoclimatology Research,1985,4,193
Geology and Paleoclimatology Research,1987,9,210
Geology and Paleoclimatology Research,1989,13,381
Geology and Paleoclimatology Research,1990,8,836
Geology and Paleoclimatology Research,1991,14,220
Geology and Paleoclimatology Research,1992,6,226
Geology and Paleoclimatology Research,1993,3,119
Geology and Paleoclimatology Research,1994,7,475
Geology and Paleoclimatology Research,1995,9,244
Geology and Paleoclimatology Research,1996,10,756
Geology and Paleoclimatology Research,1997,12,182
Geology and Paleoclimatology Research,1998,8,347
Geology and Paleoclimatology Research,1999,10,314
Geology and Paleoclimatology Research,2000,9,184
Geology and Paleoclimatology Research,2001,9,380
Geology and Paleoclimatology Research,2002,12,980
Geology and Paleoclimatology Research,2003,6,334
Geology and Paleoclimatology Research,2004,17,648
Geology and Paleoclimatology Research,2005,34,827
Geology and Paleoclimatology Research,2006,20,933
Geology and Paleoclimatology Research,2007,13,418
Geology and Paleoclimatology Research,2008,18,563
Geology and Paleoclimatology Research,2009,22,1037
Geology and Paleoclimatology Research,2010,25,604
Geology and Paleoclimatology Research,2011,21,708
Geology and Paleoclimatology Research,2012,19,829
Geology and Paleoclimatology Research,2013,19,595
Geology and Paleoclimatology Research,2014,29,770
Geology and Paleoclimatology Research,2015,26,567
Geology and Paleoclimatology Research,2016,24,443
Geology and Paleoclimatology Research,2017,32,499
Geology and Paleoclimatology Research,2018,41,654
Geology and Paleoclimatology Research,2019,18,216
Geology and Paleoclimatology Research,2020,27,417
Geology and Paleoclimatology Research,2021,34,373
Geology and Paleoclimatology Research,2022,43,334
Geology and Paleoclimatology Research,2023,34,230
Geology and Paleoclimatology Research,2024,31,157
Geology and Paleoclimatology Research,2025,34,48
Geology and Paleoclimatology Research,2026,8,2
Geomagnetism and Paleomagnetism Studies,1991,5,0
Geomagnetism and Paleomagnetism Studies,1997,1,62
Geomagnetism and Paleomagnetism Studies,2000,1,0
Geomagnetism and Paleomagnetism Studies,2007,1,123
Geomagnetism and Paleomagnetism Studies,2013,1,11
Geomagnetism and Paleomagnetism Studies,2015,10,0
Geomagnetism and Paleomagnetism Studies,2016,2,0
Geomagnetism and Paleomagnetism Studies,2021,1,28
Geomagnetism and Paleomagnetism Studies,2022,1,0
Geomagnetism and Paleomagnetism Studies,2023,1,4
Geomagnetism and Paleomagnetism Studies,2024,1,3
Geomagnetism and Paleomagnetism Studies,2025,3,3
Geophysical and Geoelectrical Methods,1989,1,4
Geophysical and Geoelectrical Methods,1990,2,10
Geophysical and Geoelectrical Methods,2008,1,0
Geophysical and Geoelectrical Methods,2010,1,20
Geophysical and Geoelectrical Methods,2012,1,0
Geophysical and Geoelectrical Methods,2016,2,19
Geophysical and Geoelectrical Methods,2019,1,12
Geophysical and Geoelectrical Methods,2020,4,10
Geophysical and Geoelectrical Methods,2021,2,14
Geophysical and Geoelectrical Methods,2022,7,180
Geophysical and Geoelectrical Methods,2023,7,76
Geophysical and Geoelectrical Methods,2024,6,31
Geophysical and Geoelectrical Methods,2025,8,23
Geophysical and Geoelectrical Methods,2026,3,0
Geophysical Methods and Applications,1982,1,28
Geophysical Methods and Applications,2004,1,9
Geophysical Methods and Applications,2006,1,5
Geophysical Methods and Applications,2010,1,0
Geophysical Methods and Applications,2011,2,40
Geophysical Methods and Applications,2014,1,0
Geophysical Methods and Applications,2015,1,1
Geophysical Methods and Applications,2016,2,19
Geophysical Methods and Applications,2018,2,0
Geophysical Methods and Applications,2019,2,17
Geophysical Methods and Applications,2020,2,18
Geophysical Methods and Applications,2021,7,49
Geophysical Methods and Applications,2022,1,3
Geophysical Methods and Applications,2023,1,9
Geophysical Methods and Applications,2024,5,6
Geophysical Methods and Applications,2025,2,4
Geophysical Methods and Applications,2026,2,0
Geophysics and Gravity Measurements,2007,1,4
Geophysics and Gravity Measurements,2008,1,13
Geophysics and Gravity Measurements,2010,1,0
Geophysics and Gravity Measurements,2015,20,0
Geophysics and Gravity Measurements,2018,1,0
Geophysics and Gravity Measurements,2019,1,0
Geophysics and Gravity Measurements,2020,2,32
Geophysics and Gravity Measurements,2021,1,1
Geophysics and Gravity Measurements,2022,1,13
Geophysics and Gravity Measurements,2023,2,20
Geophysics and Gravity Measurements,2024,1,1
Geophysics and Gravity Measurements,2025,1,2
Geophysics and Gravity Measurements,2026,1,0
Geophysics and Sensor Technology,2011,1,9
Geophysics and Sensor Technology,2013,1,1
Geophysics and Sensor Technology,2016,1,11
Geophysics and Sensor Technology,2019,3,2
Geophysics and Sensor Technology,2020,1,0
Geophysics and Sensor Technology,2022,1,0
Geoscience and Mining Technology,2022,1,1
Geoscience and Mining Technology,2023,1,6
Geotechnical and construction materials studies,2019,1,0
Geotechnical and Geomechanical Engineering,1983,1,42
Geotechnical and Geomechanical Engineering,1998,1,16
Geotechnical and Geomechanical Engineering,2001,1,0
Geotechnical and Geomechanical Engineering,2007,1,0
Geotechnical and Geomechanical Engineering,2014,1,2
Geotechnical and Geomechanical Engineering,2015,1,1
Geotechnical and Geomechanical Engineering,2019,2,13
Geotechnical and Geomechanical Engineering,2022,1,0
Geotechnical Engineering and Soil Mechanics,1982,1,28
Geotechnical Engineering and Soil Mechanics,2006,2,5
Geotechnical Engineering and Soil Stabilization,2006,1,1
Geotechnical Engineering and Underground Structures,2004,1,3
Geotechnical Engineering and Underground Structures,2006,2,5
Geotechnical Engineering and Underground Structures,2020,1,15
Geotechnical Engineering and Underground Structures,2022,1,1
Geotechnical Engineering and Underground Structures,2024,1,2
Geothermal Energy Systems and Applications,2009,1,40
Geothermal Energy Systems and Applications,2011,2,1
Geothermal Energy Systems and Applications,2015,1,1
Geothermal Energy Systems and Applications,2020,1,4
Geothermal Energy Systems and Applications,2022,2,59
Geothermal Energy Systems and Applications,2023,3,102
Geothermal Energy Systems and Applications,2024,1,11
Geothermal Energy Systems and Applications,2025,8,17
Geothermal Energy Systems and Applications,2026,3,0
Geotourism and Geoheritage Conservation,1962,1,4
Geotourism and Geoheritage Conservation,1981,1,4
Geotourism and Geoheritage Conservation,2017,1,0
Geotourism and Geoheritage Conservation,2019,1,4
Geotourism and Geoheritage Conservation,2023,3,54
Geotourism and Geoheritage Conservation,2024,4,38
Geotourism and Geoheritage Conservation,2025,3,4
Geotourism and Geoheritage Conservation,2026,1,2
German Economic Analysis & Policies,1985,1,0
Global Energy and Sustainability Research,1998,1,74
Global Energy and Sustainability Research,2006,1,15
Global Energy and Sustainability Research,2007,1,45
Global Energy and Sustainability Research,2009,1,5
Global Energy and Sustainability Research,2011,1,0
Global Energy and Sustainability Research,2013,2,2
Global Energy and Sustainability Research,2015,2,1
Global Energy and Sustainability Research,2018,5,19
Global Energy and Sustainability Research,2019,1,0
Global Energy and Sustainability Research,2021,1,14
Global Energy and Sustainability Research,2025,2,5
Global Energy and Sustainability Research,2026,1,0
Global Energy Security and Policy,1998,1,74
Global Maritime and Colonial Histories,1968,1,18
GNSS positioning and interference,2019,1,0
GNSS positioning and interference,2020,1,17
Granular flow and fluidized beds,2025,1,7
"Graphite, nuclear technology, radiation studies",2025,1,1
Grey System Theory Applications,2021,1,10
Groundwater and Isotope Geochemistry,1987,1,7
Groundwater and Isotope Geochemistry,1997,1,15
Groundwater and Isotope Geochemistry,1998,1,14
Groundwater and Isotope Geochemistry,2001,2,7
Groundwater and Isotope Geochemistry,2003,2,40
Groundwater and Isotope Geochemistry,2007,1,16
Groundwater and Isotope Geochemistry,2009,1,30
Groundwater and Isotope Geochemistry,2010,1,33
Groundwater and Isotope Geochemistry,2015,5,79
Groundwater and Isotope Geochemistry,2016,2,2
Groundwater and Isotope Geochemistry,2017,1,8
Groundwater and Isotope Geochemistry,2018,2,29
Groundwater and Isotope Geochemistry,2019,1,2
Groundwater and Isotope Geochemistry,2020,16,62
Groundwater and Isotope Geochemistry,2021,2,48
Groundwater and Isotope Geochemistry,2022,2,86
Groundwater and Isotope Geochemistry,2023,6,141
Groundwater and Isotope Geochemistry,2024,12,119
Groundwater and Isotope Geochemistry,2025,12,32
Groundwater and Isotope Geochemistry,2026,3,2
Groundwater and Watershed Analysis,1997,1,15
Groundwater and Watershed Analysis,2001,4,11
Groundwater and Watershed Analysis,2003,1,3
Groundwater and Watershed Analysis,2007,1,16
Groundwater and Watershed Analysis,2010,2,20
Groundwater and Watershed Analysis,2011,1,1
Groundwater and Watershed Analysis,2017,1,17
Groundwater and Watershed Analysis,2018,1,29
Groundwater and Watershed Analysis,2019,2,8
Groundwater and Watershed Analysis,2020,12,33
Groundwater and Watershed Analysis,2022,3,85
Groundwater and Watershed Analysis,2023,4,64
Groundwater and Watershed Analysis,2024,7,24
Groundwater and Watershed Analysis,2025,4,10
Groundwater and Watershed Analysis,2026,3,1
Groundwater flow and contamination studies,1997,1,15
Groundwater flow and contamination studies,2001,1,4
Groundwater flow and contamination studies,2003,1,37
Groundwater flow and contamination studies,2010,3,24
Groundwater flow and contamination studies,2011,1,1
Groundwater flow and contamination studies,2012,1,7
Groundwater flow and contamination studies,2017,1,8
Groundwater flow and contamination studies,2019,2,78
Groundwater flow and contamination studies,2020,7,13
Groundwater flow and contamination studies,2021,3,47
Groundwater flow and contamination studies,2022,6,166
Groundwater flow and contamination studies,2023,4,88
Groundwater flow and contamination studies,2024,3,25
Groundwater flow and contamination studies,2025,3,8
Groundwater flow and contamination studies,2026,1,1
"Grouting, Rheology, and Soil Mechanics",2019,2,6
"Grouting, Rheology, and Soil Mechanics",2023,1,1
"Grouting, Rheology, and Soil Mechanics",2025,1,0
Head and Neck Anomalies,2019,1,8
"Health, Medicine and Society",1988,1,4
"Health, Medicine and Society",1990,1,0
"Health, Medicine and Society",1991,2,0
"Health, Medicine and Society",1992,1,2
"Health, Medicine and Society",1995,1,4
"Health, Medicine and Society",1996,1,0
"Health, Medicine and Society",1997,3,14
"Health, Medicine and Society",1998,1,0
"Health, Medicine and Society",2003,1,0
"Health, Medicine and Society",2005,1,0
"Health, Medicine and Society",2007,1,0
"Health, Medicine and Society",2011,2,0
Healthcare and Environmental Waste Management,2020,1,6
Healthcare Policy and Management,2003,1,1
Healthcare Policy and Management,2006,1,0
Healthcare Systems and Technology,2006,1,0
Heavy Metal Pollution Remediation,1999,1,6
Heavy metals in environment,2008,1,39
Heavy metals in environment,2009,1,30
Heavy metals in environment,2018,1,0
Heavy metals in environment,2019,1,0
Heavy metals in environment,2021,1,11
Heavy metals in environment,2022,2,22
Heavy metals in environment,2024,1,4
Heavy metals in environment,2025,2,31
Hematopoietic Stem Cell Transplantation,1978,1,24
Hemispheric Asymmetry in Neuroscience,1977,1,123
Hermeneutics and Narrative Identity,1988,1,4
Hermeneutics and Narrative Identity,1990,1,0
Hermeneutics and Narrative Identity,1991,2,0
Hermeneutics and Narrative Identity,1992,1,2
Hermeneutics and Narrative Identity,1995,1,4
Hermeneutics and Narrative Identity,1996,1,0
Hermeneutics and Narrative Identity,1997,3,14
Hermeneutics and Narrative Identity,1998,1,0
Hermeneutics and Narrative Identity,2003,1,0
Hermeneutics and Narrative Identity,2005,1,0
Hermeneutics and Narrative Identity,2007,1,0
Hermeneutics and Narrative Identity,2011,2,0
Hermeneutics and Narrative Identity,2023,1,0
High Temperature Alloys and Creep,2010,1,0
High-pressure geophysics and materials,1995,1,77
High-pressure geophysics and materials,1997,1,178
High-pressure geophysics and materials,2001,1,4
